,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
92,609,687362,Connor Gillispie,609,2366.0,86.9,86.16,5.87,20.0,16,10.3,5.53,-1.84,41.4,0
93,9709,641927,Bailey Ober,9709,2159.0,86.3,87.89,7.24,24.0,133,5.3,5.9,-1.52,33.1,0
94,1388,623430,Ryan Dull,1411,2353.0,86.9,85.86,5.57,23.5,28,8.2,5.48,-1.8,,0
95,2747,584171,Hector Velázquez,2752,1900.0,88.0,88.48,6.5,17.0,60,8.5,5.63,-1.52,,0
96,2160,657756,Connor Seabold,2160,2180.0,88.3,88.11,6.04,17.0,42,7.4,5.49,-2.56,30.0,0
97,5741,543339,Daniel Hudson,5769,2453.0,92.7,92.58,6.22,26.8,125,8.8,5.46,-2.66,32.0,0
98,7198,656629,Michael Kopech,7225,2476.0,92.2,92.78,6.69,25.8,217,12.3,5.75,-2.34,44.5,0
99,2347,571863,Matt Koch,2348,2148.0,89.0,88.79,6.07,13.8,37,5.7,5.78,-1.71,38.1,0
100,331,621086,James Marvel,331,1848.0,86.4,84.25,4.88,10.7,6,7.1,6.11,-1.91,,0
101,82,665661,Shea Spitzbarth,82,1762.0,87.0,86.65,6.01,4.5,2,9.1,6.05,0.15,70.0,0
102,11576,623167,Chris Flexen,11576,2149.0,87.1,86.94,6.14,16.2,251,8.3,6.8,-0.65,68.0,0
103,1265,670329,Rico Garcia,1265,2357.0,90.1,89.52,5.96,19.0,27,8.7,5.93,-1.28,51.4,0
104,672,493157,Koji Uehara,676,2150.0,84.3,82.81,5.48,28.2,9,5.2,6.02,-1.35,,0
105,801,518716,Dillon Gee,801,2304.0,86.6,86.17,6.02,19.3,15,7.1,5.41,-2.21,,0
106,44,500871,Eduardo Escobar,44,1558.0,57.1,54.94,4.58,0.0,1,6.3,6.19,-1.71,42.0,0
107,2912,656685,Brett Martin,2912,2232.0,89.2,89.19,6.27,18.8,50,6.2,6.61,1.61,50.3,0
108,43,656008,Aneurys Zabala,43,1967.0,94.1,93.68,6.21,18.2,1,9.1,5.51,-2.36,28.0,0
109,28,570560,Yolmer Sánchez,28,1387.0,60.5,58.21,4.25,0.0,0,0.0,6.37,-1.24,38.9,0
110,1436,660787,Yerry De los Santos,1436,2072.0,91.9,92.21,6.53,19.4,37,9.9,5.93,-2.12,30.7,0
111,12543,605182,Mike Clevinger,12556,2215.0,88.0,88.56,6.6,24.8,267,8.6,5.49,-1.57,42.1,0
112,8,607387,Ryan Rua,8,1959.0,86.6,84.83,4.94,33.3,0,0.0,6.55,-1.39,,0
113,805,573064,Vidal Nuño,805,2381.0,85.0,83.88,5.56,20.4,15,7.3,5.85,1.83,,0
114,5188,544727,Jeurys Familia,5190,2189.0,93.8,92.87,5.71,23.9,152,11.5,6.27,-1.5,39.0,0
115,6663,647336,Michael Soroka,6668,2465.0,88.4,87.35,5.61,21.8,138,7.9,6.2,-2.3,36.0,0
116,1169,542432,José Ramirez,1186,2336.0,93.6,93.14,6.08,21.4,33,11.4,5.37,-2.63,,0
117,26,644374,Yu Chang,26,1083.0,44.9,42.76,4.34,0.0,0,0.0,6.94,-1.55,50.1,0
118,139,656820,Nicholas Padilla,139,2362.0,88.1,87.85,6.03,21.9,3,9.4,5.74,-1.06,43.2,0
119,1439,669684,Chris Murphy,1439,2310.0,86.8,86.73,6.31,22.0,36,10.0,5.39,2.18,42.8,0
120,1791,663804,Jackson Kowar,1791,2269.0,90.9,90.7,6.15,20.3,58,13.1,5.92,-1.24,42.6,0
121,20,675971,Kyle Dohy,20,1985.0,88.9,89.69,6.85,20.0,1,20.0,5.41,1.67,38.3,0
122,487,682989,Victor Mederos,487,2341.0,91.1,91.25,6.51,17.7,20,16.1,5.44,-3.0,27.7,1
123,10192,592826,Vince Velasquez,10196,2316.0,90.0,90.33,6.45,24.4,234,9.3,5.69,-1.97,44.6,0
124,16,703231,James Meeker,16,2219.0,88.7,88.53,6.24,0.0,1,25.0,5.6,-2.91,29.1,0
125,2679,543278,Blaine Hardy,2681,2137.0,83.1,82.68,5.99,17.9,47,6.8,6.01,1.87,48.1,0
126,434,664942,James Naile,434,2019.0,88.2,88.47,6.49,10.3,11,9.4,5.86,-1.37,38.0,0
127,656,641853,David McKay,656,2548.0,87.9,87.79,6.28,24.8,21,14.1,5.25,-2.05,28.9,0
128,3557,595881,Tyler Beede,3559,2057.0,89.2,89.14,6.2,19.7,88,9.6,5.62,-2.3,34.9,0
129,1469,461833,Phil Hughes,1469,2088.0,86.4,85.47,5.77,17.8,20,5.1,5.75,-2.68,,0
130,5415,621076,James Kaprielian,5416,2037.0,88.7,88.23,6.03,20.5,132,9.6,6.0,-2.67,35.9,0
131,533,605255,Brett Graves,533,2218.0,89.2,88.73,6.05,14.4,10,6.8,5.46,-2.93,,0
132,739,690997,Nolan McLean,739,2534.0,89.1,88.89,6.44,29.9,16,8.6,5.16,-3.69,27.4,0
133,339,570702,Carlos Ramirez,373,2194.0,87.7,88.1,6.44,19.3,12,13.6,5.77,-2.82,,0
134,2081,656793,Nick Nelson,2081,2047.0,91.8,91.57,6.26,23.1,67,12.9,5.77,-2.44,46.8,0
135,17885,640455,Sean Manaea,17920,1873.0,87.8,88.79,6.92,23.1,307,6.7,5.5,3.17,26.1,0
