,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
875,1439,451661,Josh Fields,1466,2168.0,91.6,91.28,6.15,24.7,23,6.2,5.53,-1.67,,0
876,176,684974,Craig Yoho,176,2370.0,83.8,84.14,6.76,17.1,9,22.0,4.98,-2.91,18.5,0
877,268,594867,Myles Jaye,268,2196.0,86.1,85.44,5.83,5.6,10,14.1,6.17,-2.7,,0
878,20,664789,Ka'ai Tom,20,1826.0,69.5,68.7,5.39,0.0,0,0.0,5.71,-1.28,40.0,0
879,1180,664350,Sixto Sánchez,1180,2091.0,90.1,89.68,6.07,15.7,24,7.5,5.71,-2.63,32.1,0
880,8,607387,Ryan Rua,8,1959.0,86.6,84.83,4.94,33.3,0,0.0,6.55,-1.39,,0
881,2072,664948,Anthony Misiewicz,2072,2480.0,87.7,87.17,5.92,22.9,37,7.1,5.91,0.71,48.7,0
882,768,702674,Caden Dana,768,2083.0,89.4,89.74,6.54,21.2,25,13.0,5.92,-1.82,41.5,0
883,1793,650382,Darwinzon Hernández,1793,2414.0,91.6,92.51,6.69,32.4,72,17.5,5.21,2.76,30.3,0
884,7615,643327,Zack Godley,7633,2158.0,86.4,85.17,5.5,22.8,189,9.5,5.92,-1.34,35.1,0
885,80,670087,Brandyn Sittinger,80,2177.0,90.4,89.9,6.02,4.8,2,9.5,6.16,-1.42,53.0,0
886,837,657424,Matt Gage,837,2152.0,88.5,88.68,6.31,22.2,19,9.0,6.43,1.98,51.3,0
887,579,621129,Kyle Cody,579,2238.0,89.3,89.23,6.29,21.8,15,10.2,6.46,-1.09,44.6,0
888,104,650813,Luis Escobar,104,2134.0,90.9,91.23,6.38,6.9,4,13.8,6.03,-1.06,,0
889,17,502210,Josh Reddick,17,1259.0,64.1,62.88,5.06,0.0,1,20.0,7.1,-1.1,64.5,0
890,1310,686580,Justin Slaten,1310,2517.0,91.0,91.65,6.74,23.1,17,4.7,6.02,-0.86,51.4,0
891,6385,682243,Bryce Miller,6387,2284.0,91.0,91.01,6.31,22.3,104,6.4,5.62,-1.17,44.2,0
892,610,691799,Grant Taylor,610,2481.0,94.6,96.55,7.35,34.6,14,9.0,5.85,-0.66,57.9,0
893,26,650907,René Pinto,26,1570.0,60.8,58.56,4.48,0.0,0,0.0,7.12,-1.26,60.1,0
894,13,453943,Todd Frazier,13,2040.0,60.4,58.7,5.4,33.3,0,0.0,6.57,-1.25,46.0,0
895,229,642584,Franklyn Kilome,229,2203.0,89.2,89.74,6.63,22.4,9,15.5,6.15,-2.18,36.8,0
896,1266,687863,Porter Hodge,1266,2510.0,90.6,92.18,7.23,29.7,36,11.6,5.67,-2.77,40.6,0
